task,alpha,r,A,loss,bloch_mse,mse_x,mse_y,mse_z,latent_norm,eta
0,0.42472407130841755,0.5753571532049581,0.04486410319805145,0.0203492883592844,0.00016498575860168785,4.623371933121234e-05,5.390557271311991e-05,0.00039481796557083726,,"[-0.1013884  -0.22893581]"
1,0.6391963650868431,0.3993292420985183,0.056191883981227875,0.03173098713159561,0.0016436207806691527,0.00018044837634079158,0.00017849708092398942,0.004571916535496712,,"[-0.09630121 -0.22263259]"
2,0.29361118426546196,0.17799726016810133,0.002647436922416091,0.2195553034543991,0.040722690522670746,0.0019369322108104825,0.0019315595272928476,0.11829957365989685,,"[-0.12438051 -0.24041587]"
3,0.23485016730091968,0.5330880728874676,0.012205422855913639,0.14442192018032074,0.033129412680864334,0.0013468627585098147,0.0014185832114890218,0.09662278741598129,,"[-0.11445779 -0.23247045]"
4,0.5606690070459254,0.4540362888980227,0.05372708663344383,0.0059395222924649715,0.0007767440984025598,6.616268365178257e-05,6.621428474318236e-05,0.0021978551521897316,,"[-0.09957797 -0.22318198]"
5,0.21235069657748148,0.5849549260809972,0.011495924554765224,0.16521483659744263,0.030254613608121872,0.0013147428398951888,0.0013757281703874469,0.08807335793972015,,"[-0.11244422 -0.22479826]"
6,0.6994655844802531,0.20616955533913808,0.01994817890226841,0.14149171113967896,0.005447774659842253,0.00020412362937349826,0.0001905963581521064,0.015948601067066193,,"[-0.10905926 -0.22939335]"
7,0.3090949803242604,0.19170225492671691,0.0033866039011627436,0.19521434605121613,0.03550112619996071,0.0026932572945952415,0.0025017678271979094,0.10130834579467773,,"[-0.11979423 -0.2355229 ]"
8,0.38254534577572263,0.36237821581611895,0.016986556351184845,0.06420417129993439,0.019540956243872643,0.0010700294515118003,0.0011123194126412272,0.05644051730632782,,"[-0.10361869 -0.2283659 ]"
9,0.4591670111852695,0.24561457009902096,0.011995268054306507,0.08936168253421783,0.015826446935534477,0.001194292912259698,0.0011712240520864725,0.04511382058262825,,"[-0.11129463 -0.23191151]"
10,0.5671117368334277,0.16974693032602092,0.009007499553263187,0.14731444418430328,0.019593633711338043,0.0010467986576259136,0.001059125643223524,0.05667497590184212,,"[-0.12056532 -0.23463267]"
11,0.3752867891211309,0.28318092164684583,0.010455716401338577,0.1316852569580078,0.04160764813423157,0.001534203882329166,0.0015573602868244052,0.12173137068748474,,"[-0.10687802 -0.23194963]"
12,0.4736419905302216,0.4925879806965068,0.043804798275232315,0.0014787167310714722,8.220731251640245e-05,1.4179017853166442e-05,1.3757199667452369e-05,0.00021868571639060974,,"[-0.10295117 -0.22064492]"
13,0.3198042692950159,0.35711721920680584,0.011568071320652962,0.06794024258852005,0.008720493875443935,0.0010355787817388773,0.001097781234420836,0.024028118699789047,,"[-0.11788637 -0.23033269]"
14,0.5554487413172255,0.12322520635999887,0.004614686127752066,0.17907138168811798,0.018058178946375847,0.0013119083596393466,0.0013337127165868878,0.051528919488191605,,"[-0.11844451 -0.23335388]"
15,0.5645269111408631,0.18526206184364577,0.01057515013962984,0.13948047161102295,0.021641965955495834,0.000918144709430635,0.0009165469091385603,0.0630912035703659,,"[-0.12420058 -0.23591968]"
16,0.23903095579116773,0.5744427686266667,0.014176049269735813,0.1547093242406845,0.03670542314648628,0.0014700747560709715,0.0014861465897411108,0.1071600541472435,,"[-0.12715857 -0.23802492]"
17,0.7793792198447358,0.5041986740582306,0.1231200098991394,0.11157824844121933,0.011551505886018276,0.0025954151060432196,0.0028936557937413454,0.029165443032979965,,"[-0.08881122 -0.21580653]"
18,0.38276826150402243,0.14883605700319194,0.0031752113718539476,0.2354666143655777,0.05724497511982918,0.0028582399245351553,0.0026604270096868277,0.16621623933315277,,"[-0.12389376 -0.24053851]"
19,0.6105398159072942,0.32007624686980063,0.034639883786439896,0.04307931289076805,0.0005272785201668739,2.4108565412461758e-05,2.17354427149985e-05,0.0015359914395958185,,"[-0.10149219 -0.2233896 ]"
20,0.27322294090686733,0.34758845505563507,0.008046925999224186,0.16697750985622406,0.05242299661040306,0.0015791029436513782,0.0015173823339864612,0.15417249500751495,,"[-0.12113576 -0.23900783]"
21,0.22063311266913105,0.5546602010393911,0.011452612467110157,0.15635472536087036,0.03263350948691368,0.0017729944083839655,0.0018136067083105445,0.09431392699480057,,"[-0.11664933 -0.2355796 ]"
22,0.3552679889600102,0.43126114217699096,0.0197930745780468,0.03516003116965294,0.005582340992987156,0.0009278382058255374,0.0009923044126480818,0.014826878905296326,,"[-0.12014209 -0.2334512 ]"
